company,policy_date,policy_keywords,policy_url,policy_length,policy_path
apple,2000-10-31 00:00:00,"id, email, website, provide, statement, customer, personal, address, information, internet, privacy, apple",6766,http://web.archive.org/web/20001109193900/http://www.apple.com:80/legal/privacy/,apple/apple-2000-10-31.txt
apple,2001-06-04 00:00:00,"services, email, website, products, statement, contact, customer, personal, information, privacy, apple, companies",8389,http://web.archive.org/web/20010505103047/http://www.apple.com:80/legal/privacy/,apple/apple-2001-06-04.txt
apple,2001-06-04 00:00:00,"services, email, website, products, statement, contact, customer, personal, information, privacy, apple, companies",8407,http://web.archive.org/web/20020802121659/http://www.apple.com:80/legal/privacy/,apple/apple-2001-06-04.txt
apple,2004-12-23 00:00:00,"services, products, website, statement, customer, personal, information, store, service, privacy, apple",12928,http://web.archive.org/web/20050131040808/http://www.apple.com:80/legal/privacy/,apple/apple-2004-12-23.txt
apple,2007-06-29 00:00:00,"services, provide, products, customer, personal, policy, information, store, service, privacy, apple",14390,http://web.archive.org/web/20070630044333/http://www.apple.com/legal/privacy/,apple/apple-2007-06-29.txt
apple,2007-06-29 00:00:00,"services, provide, products, customer, personal, policy, information, store, service, privacy, apple",14504,http://web.archive.org/web/20090830024021/http://www.apple.com:80/legal/privacy/,apple/apple-2007-06-29.txt
apple,2010-06-21 00:00:00,"services, email, products, provide, customer, personal, data, policy, information, privacy, apple, collect",15602,http://web.archive.org/web/20100818161235/http://www.apple.com:80/privacy/,apple/apple-2010-06-21.txt
apple,2011-10-21 00:00:00,"services, provide, products, website, customer, personal, data, policy, information, privacy, apple, collect",15517,http://web.archive.org/web/20111022000944/http://www.apple.com/privacy/,apple/apple-2011-10-21.txt
apple,2012-05-21 00:00:00,"services, provide, products, website, customer, personal, data, policy, information, privacy, apple, collect",15545,http://web.archive.org/web/20120529224248/http://www.apple.com//privacy//,apple/apple-2012-05-21.txt
apple,2014-03-01 00:00:00,"services, provide, products, personal, data, information, privacy, device, policy, collect, apple",16535,http://web.archive.org/web/20140830142948/http://www.apple.com/legal/privacy/en-ww/,apple/apple-2014-03-01.txt
apple,2014-09-17 00:00:00,"services, provide, products, personal, data, information, privacy, device, policy, collect, apple",18765,http://web.archive.org/web/20140924131859/http://www.apple.com/legal/privacy/en-ww/,apple/apple-2014-09-17.txt
apple,2016-05-31 00:00:00,"services, provide, products, personal, data, information, privacy, device, policy, collect, apple",18559,http://web.archive.org/web/20160602073409/http://www.apple.com/legal/privacy/en-ww/,apple/apple-2016-05-31.txt
apple,2016-09-12 00:00:00,"services, provide, products, personal, data, information, store, privacy, policy, collect, apple",19717,http://web.archive.org/web/20160930114658/http://www.apple.com/legal/privacy/en-ww/,apple/apple-2016-09-12.txt
apple,2018-05-22 00:00:00,"services, provide, products, personal, data, information, store, privacy, policy, collect, apple",23050,http://web.archive.org/web/20180606094136/https://www.apple.com/legal/privacy/en-ww/,apple/apple-2018-05-22.txt
